ENGLISH WORD,THAI WORD,THAI SENTENCE,ENGLISH SENTENCE,EXTRACTED WORD,BLANKED SENTENCE,EXTRACTED THAI WORD,BLANKED THAI SENTENCE
"abstract, n.",บทคัดย่อ,ผลการศึกษาดังกล่าวนี้ได้รับรางวัลบทคัดย่อการศึกษาวิจัยยอดเยี่ยม,The research results received an outstanding research abstract award.,abstract,The research results received an outstanding research _______ award.,บทคัดย่อ,ผลการศึกษาดังกล่าวนี้ได้รับรางวัล_______การศึกษาวิจัยยอดเยี่ยม
"accumulate, (intangible)",สั่งสม,นายกรัฐมนตรีกำลังสั่งสมอำนาจโดยไม่มีผู้ใดคอยเหนี่ยวรั้ง,The prime minister is accumulating power without anyone to deter him.,accumulate,The prime minister is _______ power without anyone to deter him.,สั่งสม,นายกรัฐมนตรีกำลัง_______อำนาจโดยไม่มีผู้ใดคอยเหนี่ยวรั้ง
"accurate, (on target)",แม่นยำ,คณะผู้วิจัยหวังว่าได้พบวิธีที่ง่ายและแม่นยำเพื่อใช้ตรวจคัดมะเร็งลำไส้ใหญ่แล้ว,The researchers hope they have found a simple and accurate way to screen for colon cancer.,accurate,The researchers hope they have found a simple and _______ way to screen for colon cancer.,แม่นยำ,คณะผู้วิจัยหวังว่าได้พบวิธีที่ง่ายและ_______เพื่อใช้ตรวจคัดมะเร็งลำไส้ใหญ่แล้ว
"accurate, (correct)",ถูกต้อง,ผู้บัญชาการกล่าวว่าจะให้ข้อมูลที่ถูกต้อง,The commander stated that he will provide accurate data.,accurate,The commander stated that he will provide _______ data.,ถูกต้อง,ผู้บัญชาการกล่าวว่าจะให้ข้อมูลที่_______
achieve,บรรลุ,ขณะนี้ผู้ก่อการร้ายยังไม่บรรลุวัตถุประสงค์,At this time the terrorists have not achieved their objectives.,achieve,At this time the terrorists have not _______ their objectives.,บรรลุ,ขณะนี้ผู้ก่อการร้ายยังไม่_______วัตถุประสงค์
"acknowledge, (accept)",ยอมรับ,พล.ต. สมบัติยอมรับว่า สนใจ(กับ)ข้อเสนอของรัสเซีย,Major General Sombat acknowledged that he is interested in Russia's proposal.,acknowledge,Major General Sombat _______ that he is interested in Russia's proposal.,ยอมรับ,พล.ต. สมบัติ_______ว่า สนใจ(กับ)ข้อเสนอของรัสเซีย
"administration, (government)",รัฐบาล,รัฐบาลของบุชคงอยากให้คนมองสงครามว่ายากกว่าการไปเดินเล่นในสวนเพียงนิดเดียว,The Bush administration would have the public think of the war as barely more difficult than a walk in the park.,administration,The Bush _______ would have the public think of the war as barely more difficult than a walk in the park.,รัฐบาล,_______ของบุชคงอยากให้คนมองสงครามว่ายากกว่าการไปเดินเล่นในสวนเพียงนิดเดียว
"administration, (business)",การบริหาร,นายกรัฐมนตรีควรเร่งแก้ปัญหาที่เกิดขึ้นโดยเร็ว เพื่อไม่ให้กระทบต่อการบริหารประเทศ,The Prime Minister should quickly resolve these issues so that they will not affect the country's administration.,administration,The Prime Minister should quickly resolve these issues so that they will not affect the country's _______.,การบริหาร,นายกรัฐมนตรีควรเร่งแก้ปัญหาที่เกิดขึ้นโดยเร็ว เพื่อไม่ให้กระทบต่อ_______ประเทศ
"adult, n.",ผู้ใหญ่,ผลกระทบนี้จะมีอันตรายต่อเด็กมากกว่าต่อผู้ใหญ่,The effects could be more dangerous for children than for adults.,adult,The effects could be more dangerous for children than for _______.,ผู้ใหญ่,ผลกระทบนี้จะมีอันตรายต่อเด็กมากกว่าต่อ_______
aesthetics,สุนทรียภาพ,การออกแบบรถยนต์ต้องคำนึงถึงสุนทรียภาพของสี,Designing cars has to take into consideration the aesthetics of colour.,aesthetics,Designing cars has to take into consideration the _______ of colour.,สุนทรียภาพ,การออกแบบรถยนต์ต้องคำนึงถึง_______ของสี
allocate,จัดสรร,"เขาเสนอให้คณะกรรมการจัดสรรเงิน 100,000 บาท ลงหน่วยเลือกตั้งทุกหน่วย","He suggested the Commission allocate 100,000 baht to each constituency.",allocate,"He suggested the Commission _______ 100,000 baht to each constituency.",จัดสรร,"เขาเสนอให้คณะกรรมการ_______เงิน 100,000 บาท ลงหน่วยเลือกตั้งทุกหน่วย"
"alternative, n.",ทางเลือก,มีทางเลือกเพียงทางเดียว,There was only one alternative.,alternative,There was only one _______.,ทางเลือก,มี_______เพียงทางเดียว
analyze,วิเคราะห์,ทางพรรคยังได้วิเคราะห์เกี่ยวกับการเลือกตั้งสมาชิกวุฒิสภา,The party analyzed the senate election.,analyze,The party _______ the senate election.,วิเคราะห์,ทางพรรคยังได้_______เกี่ยวกับการเลือกตั้งสมาชิกวุฒิสภา
