Line Number,New Line Number,front,back,Deck Assigned
1429,178,siṅgāla, m	 a jackal,10
1446,179,sucarita, n	 good conduct,10
657,180,natthi, vb	 there is not,10
959,182,bāla, m	 a fool; mn. foolish,10
692,183,niyāmatā, f	 orderliness,10
123,185,anto, ind	 inside,10
1049,185,miga, m	 (1) a beast; (2) a deer,10
1026,186,mamāyita, mn	 appropriated,10
332,187,uppanna, mn	 arisen,10
729,187,paccattaṃ, ind	 personally,10
1416,188,sāyanha (sāyaṇha), m	 the evening,10
482,191,gutta, mn	 guarded,10
880,191,pāpimā, m	 the Evil One (an epithet of Māra),10
1452,192,sudaṃ, ind	 a connective particle used in narration (untranslatable),10
1261,195,saṃyojana, n	 a fetter,10
1457,195,seti, vb	 lies down,10
716,196,netti, f	 a guide,10
279,197,uṇha, mn	 hot,10
624,197,disā, f	 a quarter,10
797,198,pabhava, m	 source,10
